Date,EEM,EFA,GLD,HYG,IEF,IWM,QQQ,SPY,TLT,USO,VIXY,VNQ
2011-02-01,,,,,,,,,,,,
2011-02-02,,,,,,,,,,,,
2011-02-03,,,,,,,,,,,,
2011-02-04,,,,,,,,,,,,
2011-02-07,,,,,,,,,,,,
2011-02-08,,,,,,,,,,,,
2011-02-09,,,,,,,,,,,,
2011-02-10,,,,,,,,,,,,
2011-02-11,,,,,,,,,,,,
2011-02-14,,,,,,,,,,,,
2011-02-15,,,,,,,,,,,,
2011-02-16,,,,,,,,,,,,
2011-02-17,,,,,,,,,,,,
2011-02-18,,,,,,,,,,,,
2011-02-22,,,,,,,,,,,,
2011-02-23,,,,,,,,,,,,
2011-02-24,,,,,,,,,,,,
2011-02-25,,,,,,,,,,,,
2011-02-28,,,,,,,,,,,,
2011-03-01,2549331084.421768,607967231.7354965,1722732007.0166016,52958079.627780914,57409364.41040039,3299647060.628128,3006401623.487129,15465260722.583582,607252804.9273682,721555074.861969,3130816.0,50010146.296634674
2011-03-02,2470191850.5026054,592986884.6270752,1732229126.0330963,53619600.7639122,55469714.79652405,3313273243.223648,2968203820.1441,15633409566.843836,598763091.3773346,744553735.2503265,3281116.0,50025648.08887482
2011-03-03,2458156508.304863,591629004.4831848,1780289962.0529938,55728175.34286499,53791464.39216614,3449688000.150757,3010473308.704777,15942156805.185053,589909910.1609802,760377402.3545898,3335612.0,49903338.705034256
2011-03-04,2475457377.793808,604395075.8978653,1787058128.5308838,55397164.52583313,51588420.68321228,3520259889.163475,3055362630.639534,16613391051.717682,580275638.5655594,802987468.5757248,3421332.0,50524850.70367813
2011-03-07,2426765994.260483,611585355.4034615,1785187725.1037598,54283302.045059204,48221557.14096069,3690776059.7312164,3182135797.5087357,17025652916.974792,553022309.816246,825824907.9113449,3489244.0,50259500.306596756
2011-03-08,2433981265.0618744,611942218.5998344,1812709092.8592682,51778785.81390381,47214512.56504059,3783663945.1561737,3223812892.6071167,17341900023.023224,553052476.1724854,847971525.0456406,3469740.0,51653733.34412575
2011-03-09,2389079785.5275345,609075526.755333,1765623639.8539734,49066595.629673004,46052780.119514465,3830415977.7238846,3338584384.9357033,17616920052.08618,549315614.9700165,852214651.8214203,3479988.0,51667273.943891525
2011-03-10,2365423690.8584595,622199696.6465378,1805080515.4003143,49383734.75696564,48760479.131126404,4037554916.970825,3432806701.4832497,18369528320.56671,551560489.4749832,897199884.3671539,3454168.0,51641234.96273041
2011-03-11,2304493676.683197,629997893.2287598,1823232918.4626007,49815365.73396683,49056105.02975464,4150077226.315117,3456493455.305252,18673558189.95819,546632666.1999893,927270359.3876495,3498488.0,51605892.39343643
2011-03-14,2196847724.7808266,663906198.5223389,1828901397.4537659,51854494.823913574,46871387.97538757,4216189041.126213,3515317745.659046,19138795827.072834,533950775.8870697,926896167.4513855,3464040.0,52055220.312280655
2011-03-15,2236408303.959713,722876471.8939972,1930986168.1430817,53646473.1281662,48159593.160858154,4365619902.143974,3636878935.6716156,20381421352.243195,555538025.7218933,954996229.5113236,4097520.0,54142734.12601471
2011-03-16,2313409733.87764,765533909.0447617,1954486008.004303,57007176.63795471,51560275.96736908,4622842891.192036,3953390743.5575676,22026301287.727776,608262664.5259857,985490589.1640518,5084480.0,57088225.69565773
2011-03-17,2318064559.87875,792136770.74646,1930949644.547577,57486745.37345886,51690079.48085785,4698004102.750416,4042497053.9401436,22600351534.2651,615607084.8074722,982197198.5398712,5347692.0,58190174.37031746
2011-03-18,2358533909.949169,842403987.3628998,1983200086.4068604,58729652.510528564,54243389.95979309,4805844265.844021,4170077287.7698517,23164456008.67962,618074195.9887123,1012785745.8429276,5382300.0,59513335.71810722
2011-03-21,2356523504.783745,867560698.0323219,1971222733.5279083,58872658.18740845,56322292.106933594,4839243231.412411,4195791806.957817,23262488620.22663,632232570.0873947,1009790283.8098526,5567544.0,59561232.14306831
2011-03-22,2248620947.1780014,853203070.5276871,1924005556.3837433,60811663.91216278,53658274.905319214,4785822777.601032,4052515327.848358,22733210408.645134,618167020.0536919,971770154.5475022,5311284.0,60501151.20769501
2011-03-23,2190665632.150116,850111661.2232018,1897141725.2287292,60211958.19726944,53838846.44439697,4681381705.760937,3957732573.034973,22334986284.755516,600628231.7401695,913036005.8230057,5249472.0,60035795.00570297
2011-03-24,2166585951.18145,843934534.4779396,1887427962.079544,60351205.14089584,55814736.89323425,4579142323.259029,3884811481.1094475,21833605443.27633,593121888.4614372,843850451.9064407,5504768.0,59836402.01720238
2011-03-25,2140200136.4957428,837757680.6025696,1908173818.629303,57566910.73410034,56514752.99736023,4645143593.979893,3932983722.8474236,21901149209.435806,591985506.6510963,835114803.6272964,5841004.0,61844017.042131424
2011-03-28,2113165039.1227913,821774438.6917877,1900313025.4393005,51292615.536346436,57389198.32458496,4621444674.33466,3896741649.0971184,21733245728.43731,575049573.9160347,833614605.5475006,5978168.0,61909211.46109581
2011-03-29,2097154443.7248802,809720614.5818901,1822068676.0836792,49960998.36133957,59097330.72040558,4527598705.863209,3787992346.504574,21099205716.447487,570213941.1133957,805892715.3895493,5901024.0,60573572.61072159
2011-03-30,2119300431.991005,801497184.7032356,1786623920.638733,51137155.65282822,60264029.994277954,4470739796.154919,3747020963.3569336,20788537091.66088,560192077.6449013,766445583.4643052,5976352.0,59729565.77732086
2011-03-31,2143965411.6083717,811169272.175312,1779287750.5219269,49773847.696056366,61865513.25790405,4348032683.104,3709304808.021984,20563851874.944878,558058594.7449112,756434079.4935745,6149732.0,62335654.472436905
